FILIAL;CODGI;DESCR;SIGLA;IDIOMA;NOIDIOMA;DINALAD;NALADI;ALADI;COMUM;MERCOSUL;SGPC;LI;PAIS_I;ABICS;CODRIEX;SISEXP;CODFIES;SGLMEX;NASCIO;CODERP;PAISDUE
;247;ESLOVACA, REPUBLICA;*; ; ; ;2; ; ; ; ; ; ; ; ;2470; ; ; ; ;
;449;MACEDONIA, ANT.REP.IUGOSL;*; ; ; ;2; ; ; ; ; ; ; ; ;4499; ; ; ; ;
;545;PAPUA NOVA GUINE ;*; ; ; ;2; ; ; ; ; ; ; ; ;5452; ; ; ; ;
;576;PAQUISTAO;*; ; ; ;2; ; ; ; ; ; ; ; ;5762; ; ; ; ;
;195;CROACIA (REPUBLICA DA) ;*; ; ; ;2; ; ; ; ; ; ; ; ;1953; ; ; ; ;
;246;ESLOVENIA, REPUBLICA DA;*; ; ; ;2; ; ; ; ; ; ; ; ;2461; ; ; ; ;
;251;ESTONIA, REPUBLICA DA;*; ; ; ;2; ; ; ; ; ; ; ; ;2518; ; ; ; ;
;427;LETONIA, REPUBLICA DA;*; ; ; ;2; ; ; ; ; ; ; ; ;4278; ; ; ; ;
;442;LITUANIA, REPUBLICA DA ;*; ; ; ;2; ; ; ; ; ; ; ; ;4421; ; ; ; ;
;153;CAZAQUISTAO, REPUBLICA DO;*; ; ; ;2; ; ; ; ; ; ; ; ;1538; ; ; ; ;
;847;UZBEQUISTAO, REPUBLICA DO;*; ; ; ;2; ; ; ; ; ; ; ; ;8478; ; ; ; ;
;423;LEBUAN,ILHAS ;*; ; ; ;2; ; ; ; ; ; ; ; ;4235; ; ; ; ;
;895;ZONA DO CANAL DO PANAMA;*; ; ; ;2; ; ; ; ; ; ; ; ;8958; ; ; ; ;
;064;ARMENIA, REPUBLICA DA;*; ; ; ;2; ; ; ; ; ; ; ; ;0647; ; ; ; ;
;073;AZERBAIJAO, REPUBLICA DO ;*; ; ; ;2; ; ; ; ; ; ; ; ;0736; ; ; ; ;
;291;GEORGIA, REPUBLICA DA;*; ; ; ;2; ; ; ; ; ; ; ; ;2917; ; ; ; ;
;396;JOHNSTON, ILHAS;*; ; ; ;2; ; ; ; ; ; ; ; ;3964; ; ; ; ;
;625;QUIRGUIZ, REPUBLICA;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;676;RUSSIA, FEDERACAO DA ;*; ; ; ;2; ; ; ; ; ; ; ; ;6769; ; ; ; ;
;772;TADJIQUISTAO, REPUBLICA D;*; ; ; ;2; ; ; ; ; ; ; ; ;7722; ; ; ; ;
;990;PROVISAO DE NAVIOS E AERO;*; ; ; ;2; ; ; ; ; ; ; ; ;9903; ; ; ; ;
;490;MIDWAY, ILHAS;*; ; ; ;2; ; ; ; ; ; ; ; ;4901; ; ; ; ;
;085;BELARUS, REPUBLICA DA;*; ; ; ;2; ; ; ; ; ; ; ; ;0850; ; ; ; ;
;098;BOSNIA-HERZEGOVINA (REPUB;*; ; ; ;2; ; ; ; ; ; ; ; ;0981; ; ; ; ;
;494;MOLDAVIA, REPUBLICA DA ;*; ; ; ;2; ; ; ; ; ; ; ; ;4944; ; ; ; ;
;780;TANZANIA, REP.UNIDA DA ;*; ; ; ;2; ; ; ; ; ; ; ; ;7803; ; ; ; ;
;831;UCRANIA;*; ; ; ;2; ; ; ; ; ; ; ; ;8311; ; ; ; ;
;791;TCHECA, REPUBLICA;*; ; ; ;2; ; ; ; ; ; ; ; ;7919; ; ; ; ;
;452;ILHA DA MADEIRA;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;151;CANARIAS, ILHAS;*; ; ; ;2; ; ; ; ; ; ; ; ;1511; ; ; ; ;
;031;BURKINA FASO ;*; ; ; ;2; ; ; ; ; ; ; ; ;0310; ; ; ; ;
;359;MAN, ILHA DE ;*; ; ; ;2; ; ; ; ; ; ; ; ;3595; ; ; ; ;
;678;SAINT KITTS E NEVIS;*; ; ; ;2; ; ; ; ; ; ; ; ;6781; ; ; ; ;
;824;TURCOMENISTAO, REPUBLICA ;*; ; ; ;2; ; ; ; ; ; ; ; ;8249; ; ; ; ;
;994;A DESIGNAR ;*; ; ; ;2; ; ; ; ; ; ; ; ;9946; ; ; ; ;
;873;WAKE, ILHA ;*; ; ; ;2; ; ; ; ; ; ; ; ;8737; ; ; ; ;
;995;BANCOS CENTRAIS;*; ; ; ;2; ; ; ; ; ; ; ; ;9950; ; ; ; ;
;150;JERSEY, ILHA DO CANAL;*; ; ; ;2; ; ; ; ; ; ; ; ;1508; ; ; ; ;
